mV,mV,mV,mV,mV
-3.129357473,-2.129357473,-1.129357473,-0.129357473,0.870642527
-3.129357473,-2.129357473,-1.129357473,-0.129357473,0.870642527
-3.129357473,-2.129357473,-1.129357473,-0.129357473,0.870642527
-3.129357473,-2.129357473,-1.129357473,-0.129357473,0.870642527
-3.129357473,-2.129357473,-1.129357473,-0.129357473,0.870642527
-3.129357473,-2.129357473,-1.129357473,-0.129357473,0.870642527
-3.116736188,-2.116736188,-1.116736188,-0.116736188,0.883263812
-3.039566045,-2.039566045,-1.039566045,-0.039566045,0.960433955
-3.015405299,-2.015405299,-1.015405299,-0.015405299,0.984594701
-2.998096108,-1.998096108,-0.998096108,0.001903892,1.001903892
-2.904337991,-1.904337991,-0.904337991,0.095662009,1.095662009
-2.859622581,-1.859622581,-0.859622581,0.140377419,1.140377419
-2.841231566,-1.841231566,-0.841231566,0.158768434,1.158768434
-2.841231566,-1.841231566,-0.841231566,0.158768434,1.158768434
-2.841231566,-1.841231566,-0.841231566,0.158768434,1.158768434
-2.789303993,-1.789303993,-0.789303993,0.210696007,1.210696007
-2.795073723,-1.795073723,-0.795073723,0.204926277,1.204926277
-2.897486436,-1.897486436,-0.897486436,0.102513564,1.102513564
-2.98222935,-1.98222935,-0.98222935,0.01777065,1.01777065
-3.017568948,-2.017568948,-1.017568948,-0.017568948,0.982431052
