mV,m/(s^2),m/(s^2),m/(s^2),kOhms,BPM,yyyy/mm/dd hh:mm:ss.000
1235.897436,6.156626506,-0.21686747,7.722891566,1260.348088,-1,51:16.1
1235.164835,6.180722892,-0.21686747,7.710843373,1260.348088,-1,51:16.1
1238.095238,6.168674699,-0.228915663,7.710843373,1260.348088,-1,51:16.1
1241.758242,6.156626506,-0.253012048,7.734939759,1260.348088,-1,51:16.1
1245.421245,6.156626506,-0.228915663,7.734939759,1260.348088,-1,51:16.1
1250.549451,6.144578313,-0.240963855,7.746987952,1261.072532,-1,51:16.2
1253.479853,6.13253012,-0.228915663,7.746987952,1260.348088,-1,51:16.2
1252.747253,6.156626506,-0.21686747,7.734939759,1260.348088,-1,51:16.2
1250.549451,6.168674699,-0.204819277,7.734939759,1260.348088,-1,51:16.2
1246.153846,6.144578313,-0.228915663,7.734939759,1261.072532,-1,51:16.2
1241.758242,6.156626506,-0.240963855,7.734939759,1261.072532,-1,51:16.2
1238.095238,6.156626506,-0.228915663,7.710843373,1261.072532,-1,51:16.2
1233.699634,6.168674699,-0.21686747,7.710843373,1260.348088,-1,51:16.2
1232.234432,6.168674699,-0.240963855,7.734939759,1261.072532,-1,51:16.2
1227.838828,6.168674699,-0.21686747,7.734939759,1261.072532,-1,51:16.2
1225.641026,6.180722892,-0.204819277,7.734939759,1260.348088,-1,51:16.2
1224.175824,6.13253012,-0.21686747,7.734939759,1261.072532,-1,51:16.2
1221.245421,6.120481928,-0.21686747,7.734939759,1261.072532,-1,51:16.3
1216.117216,6.156626506,-0.21686747,7.722891566,1261.072532,-1,51:16.3
1210.989011,6.192771084,-0.21686747,7.734939759,1261.072532,-1,51:16.3
1204.395604,6.168674699,-0.21686747,7.710843373,1261.072532,-1,51:16.3
1194.871795,6.144578313,-0.228915663,7.698795181,1261.072532,-1,51:16.3
1186.813187,6.13253012,-0.228915663,7.759036145,1261.072532,-1,51:16.3
1178.021978,6.168674699,-0.228915663,7.710843373,1261.79781,-1,51:16.3
1172.161172,6.156626506,-0.228915663,7.722891566,1261.072532,-1,51:16.3
1164.102564,6.13253012,-0.228915663,7.746987952,1261.072532,-1,51:16.3
1156.776557,6.13253012,-0.21686747,7.722891566,1261.79781,-1,51:16.3
1150.915751,6.13253012,-0.228915663,7.746987952,1260.348088,-1,51:16.3
1144.322344,6.168674699,-0.21686747,7.746987952,1261.072532,-1,51:16.3
1141.391941,6.144578313,-0.204819277,7.734939759,1261.072532,-1,51:16.3
1142.124542,6.144578313,-0.21686747,7.734939759,1261.79781,-1,51:16.4
1145.054945,6.168674699,-0.228915663,7.734939759,1261.072532,-1,51:16.4
1147.252747,6.168674699,-0.240963855,7.722891566,1260.348088,-1,51:16.4
1149.450549,6.180722892,-0.240963855,7.722891566,1261.072532,-1,51:16.4
1150.915751,6.168674699,-0.228915663,7.710843373,1261.79781,-1,51:16.4
