mV,mV,no units,yyyy/mm/dd hh:mm:ss.000
4.07124546,-1.972538428,128,36:00.8
4.07124546,-1.972538428,128,36:00.8
4.068168177,-1.98484756,128,36:00.8
4.068168177,-1.98484756,128,36:00.8
4.068168177,-1.972538428,128,36:00.8
4.068168177,-1.972538428,128,36:00.8
4.074322743,-1.975615711,128,36:00.8
4.074322743,-1.975615711,128,36:00.8
4.077400026,-1.98484756,128,36:00.8
4.077400026,-1.98484756,128,36:00.8
4.07124546,-1.972538428,128,36:00.8
4.07124546,-1.972538428,128,36:00.8
4.068168177,-1.981770277,128,36:00.8
4.068168177,-1.981770277,128,36:00.8
4.068168177,-1.975615711,128,36:00.8
4.068168177,-1.975615711,128,36:00.8
4.065090894,-1.975615711,128,36:00.8
4.065090894,-1.975615711,128,36:00.8
4.068168177,-1.972538428,128,36:00.8
4.068168177,-1.972538428,128,36:00.8
4.080477309,-1.960229296,128,36:00.8
4.080477309,-1.960229296,128,36:00.8
4.098941008,-1.95407473,128,36:00.8
4.098941008,-1.95407473,128,36:00.9
4.07124546,-1.960229296,128,36:00.9
4.07124546,-1.960229296,128,36:00.9
4.065090894,-1.972538428,128,36:00.9
4.065090894,-1.972538428,128,36:00.9
4.065090894,-1.98484756,128,36:00.9
4.065090894,-1.98484756,128,36:00.9
4.077400026,-1.994079409,128,36:00.9
4.077400026,-1.994079409,128,36:00.9
4.068168177,-1.987924843,128,36:00.9
4.068168177,-1.987924843,128,36:00.9
4.074322743,-1.972538428,128,36:00.9
4.074322743,-1.972538428,128,36:00.9
4.074322743,-1.972538428,128,36:00.9
4.062013611,-1.966383862,128,36:00.9
4.062013611,-1.966383862,128,36:00.9
4.068168177,-1.972538428,128,36:00.9
4.068168177,-1.972538428,128,36:00.9
4.068168177,-1.978692994,128,36:00.9
4.068168177,-1.978692994,128,36:00.9
4.065090894,-1.98484756,128,36:00.9
4.065090894,-1.98484756,128,36:00.9
4.055859045,-1.991002126,128,36:00.9
4.055859045,-1.991002126,128,36:00.9
4.07124546,-1.994079409,128,36:00.9
